section,pdf_page,codebook_page,question_id,variable,length,label,question_text,notes,value_count
HOUSEHOLD COMPOSITION (ROSTER),660,622,,EDFAM18,2,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,"NOTE: Starting from 2003, the following variable, EDFAM18, replaced the variable IRFAM18 (the imputation-revised indicator for having family members in the household aged 18 or older). Prior to 2003, the edited proxy variables were created using IRFAM18. However in 2003, the procedures for creating the edited proxy variables changed due to changes in the proxy questions in the questionnaire. The new procedures required an edited form of this indicator.",,3
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IMOTHER,1,RC-MOTHER IN HH,"(FRELAT10, FRELAT11, FRELAT12, FRELAT13, FRELAT14, FRELAT15, FRELAT16, FRELAT17, FRELAT18, FRELAT19, FRELAT20, FRELAT21, FRELAT22, FRELAT23, FRELAT24, FRELAT25, FRELATO2, FRELATO3, FRELATO4, FRELATO5, FRELATO6, FRELATO7, FRELATO8, FRELATO9, FRELATON)",,4
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IFATHER,1,RC-FATHER IN HH,"(MRELAT10, MRELAT11, MRELAT12, MRELAT13, MRELAT14, MRELAT15, MRELAT16, MRELAT17, MRELAT18, MRELAT19, MRELAT20, MRELAT21, MRELAT22, MRELAT23, MRELAT24, MRELAT25, MRELATO2, MRELATO3, MRELATO4, MRELATO5, MRELATO6, MRELATO7, MRELATO8, MRELATO9, MRELATON)",,4
HOUSEHOLD COMPOSITION (ROSTER),660,622,,NRCH17_2,1,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,,,3
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IRHHSIZ2,1,RECODE - IMPUTATION-REVISED # PERSONS IN HH,,,6
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IIHHSIZ2,1,IRHHSIZ2-IMPUTATION INDICATOR,,,2
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IRKI17_2,1,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,,,4
HOUSEHOLD COMPOSITION (ROSTER),660,622,,IIKI17_2,1,IRKI17_2-IMPUTATION INDICATOR,,,3
HOUSEHOLD COMPOSITION (ROSTER),661,623,,IRHH65_2,1,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,,,3
HOUSEHOLD COMPOSITION (ROSTER),661,623,,IIHH65_2,1,IRHH65_2-IMPUTATION INDICATOR,,,3
COVID-19,662,624,COV1,CONEGMH,2,HOW COVID-19 NEGATIVELY AFFECTED MENTAL HEALTH,"Since the beginning of the COVID-19 pandemic, how much, if at all, has COVID-19 negatively affected your emotional or mental health?",,9
COVID-19,662,624,COV2,COALCUSE,2,HOW COVID-19 AFFECTED AMOUNT OF ALCOHOL DRANK,"How much, if at all, has the COVID-19 pandemic affected the amount of alcohol you drink?",,11
COVID-19,662,624,COV3,CODRGUSE,2,HOW COVID-19 AFFECTED DRUG USE,"How much, if at all, has the COVID-19 pandemic affected your drug use other than alcohol? By drugs we mean cannabis, which includes marijuana and hashish, cocaine, methamphetamine, heroin, fentanyl, hallucinogens, such as LSD, and prescription medications including benzodiazepines such as Xanax and Ativan, stimulants such as Ritalin and Adderall, and opioids such as hydrocodone or oxycodone.",,12
